evaluation_id,variable,config_id,source_run_id,seed,parameters,train_loss_final,validation_loss_final,train_accuracy_pct,validation_accuracy_pct,test_accuracy_pct,training_flops_total,training_gflops,validation_inference_flops_per_sample,test_inference_flops_per_sample,predictions_hash,validation_majority_accuracy_pct,test_majority_accuracy_pct
OFFICIAL-185889b9b944304ba514,V1,F-RELU,F-RELU-s0-r1,0,7106,0.2791284502,0.3216566445,87.2202387808,84.8740786241,85.4370124685,84237550500,84.2375505000,14276.0000000000,14276,3cc69a9bdf435fb40b6effd78d6f3a0f73e7eae27d1f03f54fe68b5d02bcefe0,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V1,F-RELU,F-RELU-s1-r1,1,7106,0.2782743837,0.3187691468,87.4006679719,85.1044226044,85.3387384067,84237550500,84.2375505000,14276.0000000000,14276,bab57f4ec509ade9ae55797dba5cd5396460ba981dcbd2da77fb6fa07d21a484,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V1,F-RELU,F-RELU-s2-r1,2,7106,0.2824620558,0.3167092429,87.1818495912,85.1658476658,85.6581291075,84237550500,84.2375505000,14276.0000000000,14276,03aba434d34fe7f9ca8b74b1d9be3efccdc93eb05c96efde56a59825c9a844bc,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V1,F-SIGMOID,F-SIGMOID-s0-r1,0,7106,0.3143408279,0.3269473499,85.3737187608,84.7358722359,85.2158958295,84862721700,84.8627217000,14468.0000000000,14468,8762a95b228768c59c13394693be88f02e89f07b428b7bc4aea456dc8aef5edd,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V1,F-SIGMOID,F-SIGMOID-s1-r1,1,7106,0.3120313770,0.3248923430,85.5426311951,84.6744471744,85.2896013758,84862721700,84.8627217000,14468.0000000000,14468,878f017d765781ded94954cebcbd122a9c90e9e0c0487f221603de6d8d462c24,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V1,F-SIGMOID,F-SIGMOID-s2-r1,2,7106,0.3118568012,0.3247516049,85.5387922761,84.8280098280,85.2527486027,84862721700,84.8627217000,14468.0000000000,14468,d414b54b6d5b2ecac3573b823e6b828c32cbe3cc7efeb20cc30e6709540e3375,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V1,F-SWISH,F-SWISH-s0-r1,0,7106,0.2931195211,0.3165760848,86.5829782333,85.1197788698,85.4247282108,85071112100,85.0711121000,14532.0000000000,14532,04e3dd813d4428e9d55fd9cfee6c847dcd5202d41e029ede51f35d27712ca0d8,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V1,F-SWISH,F-SWISH-s1-r1,1,7106,0.2953909393,0.3143107991,86.4524549887,85.1658476658,85.6212763344,85071112100,85.0711121000,14532.0000000000,14532,3ee9d7d597a89b761d3246593c452b6cc39bec87082a7723dc48b7fb2a998648,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V1,F-SWISH,F-SWISH-s2-r1,2,7106,0.2959513848,0.3137280763,86.4102268801,85.1197788698,85.7441189116,85071112100,85.0711121000,14532.0000000000,14532,0b17db0de5da6522598d424dba39e450e0601d7f4f9a749e48fa5221d17f54d1,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V1,F-SOFTPLUS,F-SOFTPLUS-s0-r1,0,7106,0.3103006570,0.3246505111,85.5810203847,84.8587223587,85.3325962779,84654331300,84.6543313000,14404.0000000000,14404,66f768e6868f2e9aa4d266dd252473184f6566733e203c104d44254410014941,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V1,F-SOFTPLUS,F-SOFTPLUS-s1-r1,1,7106,0.3079015084,0.3226461681,85.7077047104,84.7972972973,85.3448805356,84654331300,84.6543313000,14404.0000000000,14404,cae5f07e43830688db837103d99aa32006b252ac0bc68d18691706e31255ec8c,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V1,F-SOFTPLUS,F-SOFTPLUS-s2-r1,2,7106,0.3058401312,0.3201724141,85.8459057929,84.9969287469,85.4431545974,84654331300,84.6543313000,14404.0000000000,14404,f36e41d5965341b6f9ab477a4a5ecfc0f868c92b9e9146a476a97b886b04eb3a,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V2,S-BETA-0.5,S-BETA-0.5-s0-r1,0,7106,0.3132567727,0.3270201100,85.5004030865,84.7358722359,85.2650328604,85071112100,85.0711121000,14532.0000000000,14532,c7b3133f7af83752ff84d017c7d017afc9a5498fbbff0ca31430873accbf9f7b,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V2,S-BETA-0.5,S-BETA-0.5-s1-r1,1,7106,0.3128399522,0.3266115056,85.5042420055,84.7665847666,85.2773171181,85071112100,85.0711121000,14532.0000000000,14532,57b92a0a3e0f9173f5d6ad0f1f4442174cd417fb5512cdd961901d4a40d9e187,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V2,S-BETA-0.5,S-BETA-0.5-s2-r1,2,7106,0.3124980239,0.3261789089,85.5541479519,84.7358722359,85.3018856336,85071112100,85.0711121000,14532.0000000000,14532,bbb25735357d5a9252d02e7fb62743910dc8918a722b8af4d58235b2a8427434,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V2,S-BETA-1,S-BETA-1-s0-r1,0,7106,0.3103006570,0.3246505111,85.5810203847,84.8587223587,85.3325962779,85071112100,85.0711121000,14532.0000000000,14532,66f768e6868f2e9aa4d266dd252473184f6566733e203c104d44254410014941,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V2,S-BETA-1,S-BETA-1-s1-r1,1,7106,0.3079015084,0.3226461681,85.7077047104,84.7972972973,85.3448805356,85071112100,85.0711121000,14532.0000000000,14532,cae5f07e43830688db837103d99aa32006b252ac0bc68d18691706e31255ec8c,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V2,S-BETA-1,S-BETA-1-s2-r1,2,7106,0.3058401312,0.3201724141,85.8459057929,84.9969287469,85.4431545974,85071112100,85.0711121000,14532.0000000000,14532,f36e41d5965341b6f9ab477a4a5ecfc0f868c92b9e9146a476a97b886b04eb3a,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V2,S-BETA-2,S-BETA-2-s0-r1,0,7106,0.3032900783,0.3195312167,85.9457176859,84.8740786241,85.6458448498,85071112100,85.0711121000,14532.0000000000,14532,43e26774d0185685ba02bcff78174858ecaaaa1b819f8bc49c5cb9e9aa113e65,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V2,S-BETA-2,S-BETA-2-s1-r1,1,7106,0.2968493992,0.3161211965,86.3334485009,85.0583538084,85.5659971746,85071112100,85.0711121000,14532.0000000000,14532,556d9336ea6e719a985be3342feae49f943e123656587e6b5b8fb1b9c7aacef3,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V2,S-BETA-2,S-BETA-2-s2-r1,2,7106,0.2984010789,0.3149149987,86.2988982303,85.1812039312,85.7256925250,85071112100,85.0711121000,14532.0000000000,14532,0a86a73e6a8cab2c50a329d55dd6e55e3b5a7dfff627c10ec8578762e410651f,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V2,S-BETA-5,S-BETA-5-s0-r1,0,7106,0.2899074673,0.3175412281,86.7211793159,85.1351351351,85.4001596954,85071112100,85.0711121000,14532.0000000000,14532,b78c9b1dad4e24a891a503f536d4880c6e1f1b7551f566a8b3cc254a2d6e6193,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V2,S-BETA-5,S-BETA-5-s1-r1,1,7106,0.2879564956,0.3146216704,86.8017966141,85.3347665848,85.5475707880,85071112100,85.0711121000,14532.0000000000,14532,16ad375a207bf9bf522ce73fc68342be108a157a47044ee7bdd8bf4a98fcbe05,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V2,S-BETA-5,S-BETA-5-s2-r1,2,7106,0.2905796935,0.3148539058,86.7403739107,85.1197788698,85.6765554941,85071112100,85.0711121000,14532.0000000000,14532,31c23a3bf09fbfb3e04efe93a8e07c081c68af1327183e0ebf216be69bdf3c6c,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V3,L1-DIRECT,L1-DIRECT-s0-r1,0,218,0.3180994648,0.3299640540,85.2892625437,84.5515970516,85.1913273140,2610750100,2.6107501000,436.0000000000,436,8745e342c23b452a0a86726ddcbfef1fefd9661bad716989d99d9641a7aa895d,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V3,L1-DIRECT,L1-DIRECT-s1-r1,1,218,0.3213183335,0.3331334083,85.1932895697,84.5208845209,85.0193477059,2610750100,2.6107501000,436.0000000000,436,e0a43b7e65e2444351d13e1a25dbebb21e92a203ea0e96519aa1812704a82264,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V3,L1-DIRECT,L1-DIRECT-s2-r1,2,218,0.3200556700,0.3322226219,85.2739068678,84.5515970516,85.1299060254,2610750100,2.6107501000,436.0000000000,436,863cbca43358c98d7b1e08d3bbcb5d989e7622a308d3b85b88718f762bcd6aa5,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V3,L2-IDENTITY,L2-IDENTITY-s0-r1,0,7106,0.3139965642,0.3278125998,85.4466582210,84.6898034398,85.2343222161,84029160100,84.0291601000,14212.0000000000,14212,9ac093112ff80c4ebfd687d6f63be09db0c5bf7959ec8e27b5ad9952bf929625,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V3,L2-IDENTITY,L2-IDENTITY-s1-r1,1,7106,0.3140122985,0.3277608315,85.4313025452,84.6590909091,85.2650328604,84029160100,84.0291601000,14212.0000000000,14212,23117e2a345a5256bc58a96d973e059d8f69e25d6d615debefafb0f370f886e9,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V3,L2-IDENTITY,L2-IDENTITY-s2-r1,2,7106,0.3139639543,0.3275890054,85.4696917348,84.6744471744,85.2404643449,84029160100,84.0291601000,14212.0000000000,14212,99b744c623c2de96eba83550afb207b8920d8d00bad51e29f54d9d2d1332c8b4,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V3,L3-IDENTITY,L3-IDENTITY-s0-r1,0,11266,0.3139098857,0.3272095307,85.4504971400,84.6898034398,85.2343222161,154465448100,154.4654481000,22532.0000000000,22532,9426e05bb2c7de37acdd993b04d71e120a01f886656f865afeef79a543c756ec,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V3,L3-IDENTITY,L3-IDENTITY-s1-r1,1,11266,0.3140014729,0.3276158128,85.4543360590,84.6590909091,85.2466064738,154465448100,154.4654481000,22532.0000000000,22532,c9ae4a18e5eb2c7eb9d3318c3a85f7ec05525373481cc46a0564349f9c006489,75.5221130221,76.3773723973
OFFICIAL-185889b9b944304ba514,V3,L3-IDENTITY,L3-IDENTITY-s2-r1,2,11266,0.3139016912,0.3270797732,85.4581749779,84.6898034398,85.2220379584,154465448100,154.4654481000,22532.0000000000,22532,1ed1c482ee8837b616c29cb35cb588a5e4dbf9080aad1753eaebd1acceb85851,75.5221130221,76.3773723973
