validation_rank,test_rank_descriptive,variable,config_id,parameters,mean_validation_accuracy_pct,std_validation_accuracy_pp,mean_test_accuracy_pct,std_test_accuracy_pp,training_gflops_per_run,test_inference_flops_per_sample,return_pp_per_gflop,within_relu_budget,budget_choice,pareto_validation,dominated_by
3,4,V1,F-RELU,7106,85.0481162981,0.1538183784,85.4779599943,0.1635852372,84.2375505000,14276,0.1130849985,yes,yes,pareto,
7,8,V1,F-SIGMOID,7106,84.7461097461,0.0772915073,85.2527486027,0.0368527732,84.8627217000,14468,0.1086931522,no,no,dominated,F-RELU|F-SOFTPLUS
2,2,V1,F-SWISH,7106,85.1351351351,0.0265978318,85.5967078189,0.1611065297,85.0711121000,14532,0.1129998407,no,no,dominated,S-BETA-5
5,5,V1,F-SOFTPLUS,7106,84.8843161343,0.1022470534,85.3735438036,0.0605968044,84.6543313000,14404,0.1105933148,no,no,dominated,F-RELU
8,7,V2,S-BETA-0.5,7106,84.7461097461,0.0177318879,85.2814118707,0.0187645136,85.0711121000,14532,0.1084268972,no,no,dominated,F-RELU|F-SIGMOID|F-SWISH|F-SOFTPLUS|S-BETA-1|S-BETA-2|S-BETA-5
6,5,V2,S-BETA-1,7106,84.8843161343,0.1022470534,85.3735438036,0.0605968044,85.0711121000,14532,0.1100514955,no,no,dominated,F-RELU|F-SWISH|F-SOFTPLUS|S-BETA-2|S-BETA-5
4,1,V2,S-BETA-2,7106,85.0378787879,0.1545830146,85.6458448498,0.0798476752,85.0711121000,14532,0.1118566048,no,no,dominated,F-RELU|F-SWISH|S-BETA-5
1,3,V2,S-BETA-5,7106,85.1965601966,0.1199362665,85.5414286592,0.1383002303,85.0711121000,14532,0.1137218844,no,no,pareto,
11,11,V3,L1-DIRECT,218,84.5413595414,0.0177318879,85.1135270151,0.0871518811,2.6107501000,436,3.4546571574,yes,no,pareto,
10,9,V3,L2-IDENTITY,7106,84.6744471744,0.0153562654,85.2466064738,0.0162505455,84.0291601000,14212,0.1089185485,yes,no,pareto,
9,10,V3,L3-IDENTITY,11266,84.6795659296,0.0177318879,85.2343222161,0.0122842577,154.4654481000,22532,0.0592847981,no,no,dominated,F-RELU|F-SIGMOID|F-SWISH|F-SOFTPLUS|S-BETA-0.5|S-BETA-1|S-BETA-2|S-BETA-5
